Mn,Co,Fe,Oxygen Diffusion Coefficient - log(D*)_400C (cm^2/s)
0.31408,0.35989,0.32603,-13.97955584
0.33711,0.34823,0.31466,-14.38902913
0.3807,0.33766,0.28164,-14.4875651
0.42133,0.31243,0.26625,-14.54171275
0.47023,0.28358,0.24619,-15.1918613
0.49827,0.27228,0.22945,-15.38956769
0.53408,0.25771,0.20821,-15.65435578
0.54821,0.24636,0.20543,-15.87176233
0.60503,0.22652,0.16845,-15.86415842
0.63061,0.21298,0.15641,-16.051815
0.68021,0.17637,0.14342,-15.92463555
0.68693,0.18171,0.13136,-16.17471867
0.66911,0.18209,0.1488,-16.24698948
0.64176,0.19215,0.16609,-16.0862317
0.62221,0.21119,0.1666,-16.01079187
0.58516,0.22233,0.19251,-15.9190562
0.54723,0.24799,0.20478,-15.74670804
0.49497,0.27258,0.23244,-15.51952881
0.46968,0.28089,0.24943,-15.45417723
0.42386,0.29682,0.27932,-15.79424364
0.387,0.31006,0.30294,-14.91534509
0.34107,0.32745,0.33148,-14.5732562
0.29391,0.34643,0.35966,-14.243443
0.27454,0.35276,0.37271,-13.95204793
0.24355,0.35962,0.39682,-13.70830045
0.2099,0.36858,0.42152,-13.69747427
0.18107,0.35118,0.46775,-13.61434547
0.15956,0.33955,0.50089,-13.41243046
0.15386,0.31808,0.52806,-13.16557866
0.13448,0.29616,0.56936,-13.12203407
0.11109,0.2696,0.61931,-13.10795273
0.10901,0.24426,0.64673,-13.10629038
0.08053,0.2434,0.67607,-13.1406347
0.08419,0.18742,0.72839,-12.95439541
0.08059,0.20056,0.71885,-12.98645499
0.09663,0.21485,0.68852,-12.99357247
0.13745,0.23404,0.62851,-13.08027827
0.1395,0.25463,0.60587,-13.17679191
0.16695,0.26879,0.56426,-13.30933354
0.18616,0.27345,0.54039,-13.62358913
0.19582,0.30284,0.50134,-13.83250544
0.23272,0.29609,0.47119,-13.99530899
0.27029,0.29851,0.4312,-14.32920884
0.30984,0.2862,0.40395,-14.60847211
0.33513,0.29133,0.37354,-14.36313615
0.35989,0.29676,0.34335,-15.09335201
0.41143,0.27359,0.31498,-15.2231594
0.46014,0.25388,0.28598,-15.52913693
0.48959,0.23983,0.27057,-16.01228236
0.52112,0.23102,0.24786,-15.75395959
0.57102,0.21306,0.21592,-15.87248379
0.5941,0.20034,0.20556,-15.94361738
0.63781,0.18812,0.17407,-16.12561039
0.66316,0.17332,0.16352,-15.99631548
0.66758,0.17681,0.15561,-16.02185556
0.62975,0.18453,0.18572,-15.93619394
0.62082,0.1874,0.19178,-15.80787878
0.57995,0.19802,0.22203,-15.76431251
0.51017,0.22777,0.26206,-15.76660533
0.48986,0.23536,0.27478,-15.64871402
0.45734,0.24365,0.29902,-15.77033607
0.40272,0.25583,0.34145,-15.41056315
0.35558,0.26679,0.37763,-15.34094278
0.32877,0.27853,0.3927,-15.01278927
0.29568,0.28109,0.42323,-14.81144554
0.27066,0.28166,0.44769,-14.58585594
0.2328,0.27724,0.48996,-14.18307498
0.18192,0.28244,0.53564,-13.84571605
0.17099,0.27012,0.55889,-13.599084
0.1484,0.24206,0.60954,-13.38483828
0.12415,0.23197,0.64388,-13.24795001
0.11212,0.21242,0.67546,-13.16118931
0.09417,0.201,0.70483,-13.09874716
0.07521,0.18777,0.73702,-12.98747069
0.06976,0.17332,0.75692,-12.95007682
0.05119,0.15853,0.79028,-12.98295831
0.08759,0.17875,0.73366,-12.97986255
0.08759,0.17875,0.73366,-13.10728947
0.12612,0.21606,0.65782,-13.16665205
0.14398,0.22493,0.63109,-13.27841277
0.17927,0.24663,0.5741,-13.56740587
0.17927,0.24663,0.5741,-13.72169922
0.20117,0.25611,0.54272,-14.02136579
0.24991,0.26277,0.48732,-14.41822209
0.29766,0.25947,0.44287,-14.70912212
0.32263,0.26073,0.41664,-14.93900392
0.32263,0.26073,0.41664,-15.25410348
0.35562,0.25222,0.39216,-15.38286436
0.40092,0.24717,0.35191,-15.53385186
0.4795,0.23197,0.28853,-15.80578824
0.53727,0.20589,0.25684,-15.80477029
0.58029,0.19582,0.22389,-15.78121775
0.58029,0.19582,0.22389,-15.91647946
0.59325,0.18638,0.22037,-16.04694328
0.61338,0.19446,0.19216,-16.11924641
0.63057,0.17797,0.19146,-15.47658003
0.59325,0.18638,0.22037,-16.00555614
0.58029,0.19582,0.22389,-15.99646623
0.53727,0.20589,0.25684,-15.89834914
0.4795,0.23197,0.28853,-15.61207476
0.45044,0.23192,0.31764,-15.98469055
0.40092,0.24717,0.35191,-15.91640781
0.35562,0.25222,0.39216,-15.50498741
0.32263,0.26073,0.41664,-15.66232115
0.29766,0.25947,0.44287,-15.5491999
0.24991,0.26277,0.48732,-15.33821949
0.23528,0.26495,0.49977,-14.99175763
0.20117,0.25611,0.54272,-14.5927468
0.17927,0.24663,0.5741,-14.35479198
0.14398,0.22493,0.63109,-13.97488674
0.12612,0.21606,0.65782,-13.72910465
0.11162,0.19729,0.69109,-13.53308643
0.08759,0.17875,0.73366,-13.32446819
