Mn,Co,Fe,Lattice parameter
0.37403,0.46904,0.15693,3.90549
0.27088,0.58775,0.14137,3.91153
0.57863,0.24663,0.17474,3.89585
0.57287,0.26829,0.15884,3.89671
0.53593,0.30961,0.15446,3.90223
0.45431,0.40033,0.14535,3.90774
0.4112,0.44501,0.14379,3.90076
0.59854,0.24918,0.15228,3.89505
0.62659,0.2382,0.13521,3.89519
0.58548,0.27847,0.13605,3.89922
0.6596,0.19513,0.14527,3.89249
0.29016,0.43999,0.26985,3.88722
0.28569,0.50569,0.20862,3.88894
0.25812,0.54966,0.19222,3.89562
0.21765,0.63119,0.15116,3.90379
0.16125,0.69644,0.14231,3.90817
0.15059,0.71979,0.12962,3.9074
0.31609,0.38548,0.29843,3.88867
