Mn,Fe,Co,log(Preexponential Factor) (Ω·cm2·K-1)
0.445783133,0.004016064,0.550200803,-11.52899462
0.441767068,0.004016064,0.554216867,-11.52899462
0.437751004,0.004016064,0.558232932,-11.53566402
0.43373494,0.004016064,0.562248996,-11.53566402
0.429718876,0.004016064,0.56626506,-11.53566402
0.425702811,0.004016064,0.570281124,-11.53566402
0.421686747,0.004016064,0.574297189,-11.53557564
0.417670683,0.004016064,0.578313253,-11.53557564
0.413654618,0.004016064,0.582329317,-11.53557564
0.409638554,0.004016064,0.586345382,-11.5354886
0.40562249,0.004016064,0.590361446,-11.53542603
0.401606426,0.004016064,0.59437751,-11.53536651
0.397590361,0.004016064,0.598393574,-11.53817426
0.393574297,0.004016064,0.602409639,-11.54092758
0.389558233,0.004016064,0.606425703,-11.54416532
0.385542169,0.004016064,0.610441767,-11.54392013
0.381526104,0.004016064,0.614457831,-11.54374773
0.37751004,0.004016064,0.618473896,-11.54368198
0.373493976,0.004016064,0.62248996,-11.54693558
0.369477912,0.004016064,0.626506024,-11.54693558
0.365461847,0.004016064,0.630522088,-11.54693558
0.361445783,0.004016064,0.634538153,-11.54691291
0.357429719,0.004016064,0.638554217,-11.54691291
0.353413655,0.004016064,0.642570281,-11.54691291
0.34939759,0.004016064,0.646586345,-11.54673098
0.345381526,0.004016064,0.65060241,-11.54664574
0.341365462,0.004016064,0.654618474,-11.55671773
0.337349398,0.004016064,0.658634538,-11.55671773
0.333333333,0.004016064,0.662650602,-11.55664627
0.329317269,0.004016064,0.666666667,-11.55664627
0.325301205,0.004016064,0.670682731,-11.55664627
0.321285141,0.004016064,0.674698795,-11.55664627
0.317269076,0.004016064,0.678714859,-11.55664627
0.313253012,0.004016064,0.682730924,-11.55662307
0.309236948,0.004016064,0.686746988,-11.55662307
0.305220884,0.004016064,0.690763052,-11.563333
0.301204819,0.004016064,0.694779116,-11.563333
0.297188755,0.004016064,0.698795181,-11.563333
0.293172691,0.004016064,0.702811245,-11.58354236
0.289156627,0.004016064,0.706827309,-11.5902735
0.285140562,0.004016064,0.710843373,-11.59359542
0.281124498,0.004016064,0.714859438,-11.59359542
0.277108434,0.004016064,0.718875502,-11.60698515
0.273092369,0.004016064,0.722891566,-11.61364181
0.269076305,0.004016064,0.726907631,-11.61341088
0.265060241,0.004016064,0.730923695,-11.61341088
0.261044177,0.004016064,0.734939759,-11.6134173
0.257028112,0.004016064,0.738955823,-11.6134173
0.253012048,0.004016064,0.742971888,-11.60832037
0.248995984,0.004016064,0.746987952,-11.60808718
0.24497992,0.004016064,0.751004016,-11.60303221
0.240963855,0.004016064,0.75502008,-11.5928948
0.236947791,0.004016064,0.759036145,-11.56771632
0.232931727,0.004016064,0.763052209,-11.59257332
0.228915663,0.004016064,0.767068273,-11.61267178
0.224899598,0.004016064,0.771084337,-11.61246425
0.220883534,0.004016064,0.775100402,-11.61246425
0.21686747,0.004016064,0.779116466,-11.61229475
0.212851406,0.004016064,0.78313253,-11.61224398
0.208835341,0.004016064,0.787148594,-11.61216097
0.204819277,0.004016064,0.791164659,-11.61216097
0.200803213,0.004016064,0.795180723,-11.61216097
0.196787149,0.004016064,0.799196787,-11.61202876
0.192771084,0.004016064,0.803212851,-11.61201408
0.18875502,0.004016064,0.807228916,-11.61201408
0.184738956,0.004016064,0.81124498,-11.61201408
0.180722892,0.004016064,0.815261044,-11.6120139
0.176706827,0.004016064,0.819277108,-11.6120139
0.172690763,0.004016064,0.823293173,-11.6120139
0.168674699,0.004016064,0.827309237,-11.6120139
0.164658635,0.004016064,0.831325301,-11.6120139
0.16064257,0.004016064,0.835341365,-11.6120139
0.156626506,0.004016064,0.83935743,-11.6120139
0.152610442,0.004016064,0.843373494,-11.6120139
0.148594378,0.004016064,0.847389558,-11.6120139
0.144578313,0.004016064,0.851405622,-11.61201719
0.140562249,0.004016064,0.855421687,-11.61201719
0.136546185,0.004016064,0.859437751,-11.61201981
0.13253012,0.004016064,0.863453815,-11.61201981
0.128514056,0.004016064,0.86746988,-11.61204476
0.124497992,0.004016064,0.871485944,-11.61208044
0.120481928,0.004016064,0.875502008,-11.61208123
0.116465863,0.004016064,0.879518072,-11.61208123
0.112449799,0.004016064,0.883534137,-11.61208123
0.108433735,0.004016064,0.887550201,-11.61208123
0.104417671,0.004016064,0.891566265,-11.61208123
0.100401606,0.004016064,0.895582329,-11.61208123
0.096385542,0.004016064,0.899598394,-11.61208123
0.092369478,0.004016064,0.903614458,-11.61208123
0.088353414,0.004016064,0.907630522,-11.61208123
0.084337349,0.004016064,0.911646586,-11.61208123
0.080321285,0.004016064,0.915662651,-11.61208123
0.076305221,0.004016064,0.919678715,-11.61208123
0.072289157,0.004016064,0.923694779,-11.61208123
0.068273092,0.004016064,0.927710843,-11.61208123
0.064257028,0.004016064,0.931726908,-11.61208123
0.060240964,0.004016064,0.935742972,-11.61208123
0.0562249,0.004016064,0.939759036,-11.61208123
0.052208835,0.004016064,0.9437751,-11.61208123
0.048192771,0.004016064,0.947791165,-11.61208123
0.044176707,0.004016064,0.951807229,-11.61208123
0.040160643,0.004016064,0.955823293,-11.61208123
0.036144578,0.004016064,0.959839357,-11.61208123
0.032128514,0.004016064,0.963855422,-11.61208123
0.02811245,0.004016064,0.967871486,-11.61208123
0.024096386,0.004016064,0.97188755,-11.61208123
0.020080321,0.004016064,0.975903614,-11.61208123
0.016064257,0.004016064,0.979919679,-11.61208123
0.012048193,0.004016064,0.983935743,-11.61208123
0.008032129,0.004016064,0.987951807,-11.61208123
0.004016064,0.004016064,0.991967871,-11.61208123
0,0.004016064,0.995983936,-11.61208123
0.991967871,0.008032129,0,-10.57928844
0.987951807,0.008032129,0.004016064,-10.57928844
0.983935743,0.008032129,0.008032129,-10.57928844
0.979919679,0.008032129,0.012048193,-10.57928844
0.975903614,0.008032129,0.016064257,-10.57928844
0.97188755,0.008032129,0.020080321,-10.57928844
0.967871486,0.008032129,0.024096386,-10.57928844
0.963855422,0.008032129,0.02811245,-10.57928844
0.959839357,0.008032129,0.032128514,-10.57928844
0.955823293,0.008032129,0.036144578,-10.57928844
0.951807229,0.008032129,0.040160643,-10.57928844
0.947791165,0.008032129,0.044176707,-10.57928844
0.9437751,0.008032129,0.048192771,-10.57928844
0.939759036,0.008032129,0.052208835,-10.57928844
0.935742972,0.008032129,0.0562249,-10.57928844
0.931726908,0.008032129,0.060240964,-10.57928844
0.927710843,0.008032129,0.064257028,-10.57928844
0.923694779,0.008032129,0.068273092,-10.57928844
0.919678715,0.008032129,0.072289157,-10.57928844
0.915662651,0.008032129,0.076305221,-10.57928844
0.911646586,0.008032129,0.080321285,-10.57928844
0.907630522,0.008032129,0.084337349,-10.57928844
0.903614458,0.008032129,0.088353414,-10.57928844
0.899598394,0.008032129,0.092369478,-10.57928844
0.895582329,0.008032129,0.096385542,-10.57928844
0.891566265,0.008032129,0.100401606,-10.57928844
0.887550201,0.008032129,0.104417671,-10.57928844
0.883534137,0.008032129,0.108433735,-10.57928844
0.879518072,0.008032129,0.112449799,-10.57928844
0.875502008,0.008032129,0.116465863,-10.57928844
0.871485944,0.008032129,0.120481928,-10.57928844
0.86746988,0.008032129,0.124497992,-10.57928844
0.863453815,0.008032129,0.128514056,-10.57928844
0.859437751,0.008032129,0.13253012,-10.57928844
0.855421687,0.008032129,0.136546185,-10.56994198
0.851405622,0.008032129,0.140562249,-10.56994198
0.847389558,0.008032129,0.144578313,-10.56994198
0.843373494,0.008032129,0.148594378,-10.56994198
0.83935743,0.008032129,0.152610442,-10.56994198
0.835341365,0.008032129,0.156626506,-10.56994198
0.831325301,0.008032129,0.16064257,-10.56994198
0.827309237,0.008032129,0.164658635,-10.56994198
0.823293173,0.008032129,0.168674699,-10.56994198
0.819277108,0.008032129,0.172690763,-10.56994198
0.815261044,0.008032129,0.176706827,-10.56994198
0.81124498,0.008032129,0.180722892,-10.56994198
0.807228916,0.008032129,0.184738956,-10.56994198
0.803212851,0.008032129,0.18875502,-10.55976713
0.799196787,0.008032129,0.192771084,-10.55976713
0.795180723,0.008032129,0.196787149,-10.54845704
0.791164659,0.008032129,0.200803213,-10.54845704
0.787148594,0.008032129,0.204819277,-10.54845704
0.78313253,0.008032129,0.208835341,-10.54845704
0.779116466,0.008032129,0.212851406,-10.54845704
0.775100402,0.008032129,0.21686747,-10.54845704
0.771084337,0.008032129,0.220883534,-10.54845704
0.767068273,0.008032129,0.224899598,-10.54845704
0.763052209,0.008032129,0.228915663,-10.54845704
0.759036145,0.008032129,0.232931727,-10.54845704
0.75502008,0.008032129,0.236947791,-10.54845704
0.751004016,0.008032129,0.240963855,-10.54845704
0.746987952,0.008032129,0.24497992,-10.54845704
0.742971888,0.008032129,0.248995984,-10.54845704
0.738955823,0.008032129,0.253012048,-10.53715702
0.734939759,0.008032129,0.257028112,-10.53715702
0.730923695,0.008032129,0.261044177,-10.53715702
0.726907631,0.008032129,0.265060241,-10.52596251
0.722891566,0.008032129,0.269076305,-10.48296078
0.718875502,0.008032129,0.273092369,-10.48296078
0.714859438,0.008032129,0.277108434,-10.32773596
0.710843373,0.008032129,0.281124498,-10.32773596
0.706827309,0.008032129,0.285140562,-10.32773596
0.702811245,0.008032129,0.289156627,-10.31709224
0.698795181,0.008032129,0.293172691,-10.31709224
0.694779116,0.008032129,0.297188755,-10.27531461
0.690763052,0.008032129,0.301204819,-10.18629888
0.686746988,0.008032129,0.305220884,-10.18629888
0.682730924,0.008032129,0.309236948,-10.12904434
0.678714859,0.008032129,0.313253012,-10.0877547
0.674698795,0.008032129,0.317269076,-10.06645317
0.670682731,0.008032129,0.321285141,-10.07188684
0.666666667,0.008032129,0.325301205,-10.05504461
0.662650602,0.008032129,0.329317269,-10.04769321
0.658634538,0.008032129,0.333333333,-10.00979563
0.654618474,0.008032129,0.337349398,-9.95353499
0.65060241,0.008032129,0.341365462,-9.819753161
0.646586345,0.008032129,0.345381526,-9.274366426
0.642570281,0.008032129,0.34939759,-9.234986831
0.638554217,0.008032129,0.353413655,-9.181588602
0.634538153,0.008032129,0.357429719,-9.130875609
0.630522088,0.008032129,0.361445783,-8.956610678
0.626506024,0.008032129,0.365461847,-8.90826368
0.62248996,0.008032129,0.369477912,-8.788180943
0.618473896,0.008032129,0.373493976,-8.664512367
0.614457831,0.008032129,0.37751004,-8.631851401
0.610441767,0.008032129,0.381526104,-8.543560619
0.606425703,0.008032129,0.385542169,-8.53704183
0.602409639,0.008032129,0.389558233,-8.521135538
