Mn,Fe,Co,ASR600ºC (Ω·cm2)
0.441767068,0,0.558232932,102.048242
0.437751004,0,0.562248996,102.048242
0.43373494,0,0.56626506,102.048242
0.429718876,0,0.570281124,102.048242
0.425702811,0,0.574297189,102.0430705
0.421686747,0,0.578313253,102.0430705
0.417670683,0,0.582329317,102.0430705
0.413654618,0,0.586345382,102.0379641
0.409638554,0,0.590361446,102.0339149
0.40562249,0,0.59437751,102.0305877
0.401606426,0,0.598393574,101.8462582
0.397590361,0,0.602409639,101.6536983
0.393574297,0,0.606425703,101.5018125
0.389558233,0,0.610441767,101.4832146
0.385542169,0,0.614457831,101.4676702
0.381526104,0,0.618473896,101.4608418
0.37751004,0,0.62248996,101.3076511
0.373493976,0,0.626506024,101.3076511
0.369477912,0,0.630522088,101.3076511
0.365461847,0,0.634538153,101.3050216
0.361445783,0,0.638554217,101.3050216
0.357429719,0,0.642570281,101.3050216
0.353413655,0,0.646586345,101.2881999
0.34939759,0,0.65060241,101.2801895
0.345381526,0,0.654618474,101.2801895
0.341365462,0,0.658634538,101.6537282
0.337349398,0,0.662650602,101.6491077
0.333333333,0,0.666666667,101.6491077
0.329317269,0,0.670682731,101.6491077
0.325301205,0,0.674698795,101.6491077
0.321285141,0,0.678714859,101.6491077
0.317269076,0,0.682730924,101.6463768
0.313253012,0,0.686746988,101.6463768
0.309236948,0,0.690763052,101.6463768
0.305220884,0,0.694779116,102.1645987
0.301204819,0,0.698795181,102.1645987
0.297188755,0,0.702811245,102.1645987
0.293172691,0,0.706827309,101.3131389
0.289156627,0,0.710843373,101.0308473
0.285140562,0,0.714859438,100.8863799
0.281124498,0,0.718875502,100.8855799
0.277108434,0,0.722891566,100.3170559
0.273092369,0,0.726907631,100.0116421
0.269076305,0,0.730923695,100.0116421
0.265060241,0,0.734939759,100.0114119
0.261044177,0,0.738955823,100.0114119
0.257028112,0,0.742971888,100.0194932
0.253012048,0,0.746987952,99.99277773
0.248995984,0,0.751004016,100.004696
0.24497992,0,0.75502008,100.0318323
0.240963855,0,0.759036145,100.0917248
0.236947791,0,0.763052209,100.0141052
0.232931727,0,0.767068273,99.93777435
0.228915663,0,0.771084337,99.93777435
0.224899598,0,0.775100402,99.92279034
0.220883534,0,0.779116466,99.92279034
0.21686747,0,0.78313253,99.90819302
0.212851406,0,0.787148594,99.90273143
0.208835341,0,0.791164659,99.89642966
0.204819277,0,0.795180723,99.89642966
0.200803213,0,0.799196787,99.89642966
0.196787149,0,0.803212851,99.88358748
0.192771084,0,0.807228916,99.88163419
0.18875502,0,0.81124498,99.88163419
0.184738956,0,0.815261044,99.88163419
0.180722892,0,0.819277108,99.88121855
0.176706827,0,0.823293173,99.88121855
0.172690763,0,0.827309237,99.88121855
0.168674699,0,0.831325301,99.88121855
0.164658635,0,0.835341365,99.88121855
0.16064257,0,0.83935743,99.88121855
0.156626506,0,0.843373494,99.88121855
0.152610442,0,0.847389558,99.88121855
0.148594378,0,0.851405622,99.88121855
0.144578313,0,0.855421687,99.88046386
0.140562249,0,0.859437751,99.88046386
0.136546185,0,0.863453815,99.88052017
0.13253012,0,0.86746988,99.88052017
0.128514056,0,0.871485944,99.8815859
0.124497992,0,0.875502008,99.88220448
0.120481928,0,0.879518072,99.88204832
0.116465863,0,0.883534137,99.88204832
0.112449799,0,0.887550201,99.88204832
0.108433735,0,0.891566265,99.88204832
0.104417671,0,0.895582329,99.88204832
0.100401606,0,0.899598394,99.88204832
0.096385542,0,0.903614458,99.88204832
0.092369478,0,0.907630522,99.88204832
0.088353414,0,0.911646586,99.88204832
0.084337349,0,0.915662651,99.88204832
0.080321285,0,0.919678715,99.88204832
0.076305221,0,0.923694779,99.88204832
0.072289157,0,0.927710843,99.88204832
0.068273092,0,0.931726908,99.88204832
0.064257028,0,0.935742972,99.88204832
0.060240964,0,0.939759036,99.88204832
0.0562249,0,0.9437751,99.88204832
0.052208835,0,0.947791165,99.88204832
0.048192771,0,0.951807229,99.88204832
0.044176707,0,0.955823293,99.88204832
0.040160643,0,0.959839357,99.88204832
0.036144578,0,0.963855422,99.88204832
0.032128514,0,0.967871486,99.88204832
0.02811245,0,0.97188755,99.88204832
0.024096386,0,0.975903614,99.88204832
0.020080321,0,0.979919679,99.88204832
0.016064257,0,0.983935743,99.88204832
0.012048193,0,0.987951807,99.88204832
0.008032129,0,0.991967871,99.88204832
0.004016064,0,0.995983936,99.88204832
0,0,1,99.88204832
0.995983936,0.004016064,0,107.4627882
0.991967871,0.004016064,0.004016064,107.4627882
0.987951807,0.004016064,0.008032129,107.4627882
0.983935743,0.004016064,0.012048193,107.4627882
0.979919679,0.004016064,0.016064257,107.4627882
0.975903614,0.004016064,0.020080321,107.4627882
0.97188755,0.004016064,0.024096386,107.4627882
0.967871486,0.004016064,0.02811245,107.4627882
0.963855422,0.004016064,0.032128514,107.4627882
0.959839357,0.004016064,0.036144578,107.4627882
0.955823293,0.004016064,0.040160643,107.4627882
0.951807229,0.004016064,0.044176707,107.4627882
0.947791165,0.004016064,0.048192771,107.4627882
0.9437751,0.004016064,0.052208835,107.4627882
0.939759036,0.004016064,0.0562249,107.4627882
0.935742972,0.004016064,0.060240964,107.4627882
0.931726908,0.004016064,0.064257028,107.4627882
0.927710843,0.004016064,0.068273092,107.4627882
0.923694779,0.004016064,0.072289157,107.4627882
0.919678715,0.004016064,0.076305221,107.4627882
0.915662651,0.004016064,0.080321285,107.4627882
0.911646586,0.004016064,0.084337349,107.4627882
0.907630522,0.004016064,0.088353414,107.4627882
0.903614458,0.004016064,0.092369478,107.4627882
0.899598394,0.004016064,0.096385542,107.4627882
0.895582329,0.004016064,0.100401606,107.4627882
0.891566265,0.004016064,0.104417671,107.4627882
0.887550201,0.004016064,0.108433735,107.4627882
0.883534137,0.004016064,0.112449799,107.4627882
0.879518072,0.004016064,0.116465863,107.4627882
0.875502008,0.004016064,0.120481928,107.4627882
0.871485944,0.004016064,0.124497992,107.4627882
0.86746988,0.004016064,0.128514056,107.4627882
0.863453815,0.004016064,0.13253012,107.4627882
0.859437751,0.004016064,0.136546185,107.2233234
0.855421687,0.004016064,0.140562249,107.2233234
0.851405622,0.004016064,0.144578313,107.2233234
0.847389558,0.004016064,0.148594378,107.2233234
0.843373494,0.004016064,0.152610442,107.2233234
0.83935743,0.004016064,0.156626506,107.2233234
0.835341365,0.004016064,0.16064257,107.2233234
0.831325301,0.004016064,0.164658635,107.2233234
0.827309237,0.004016064,0.168674699,107.2233234
0.823293173,0.004016064,0.172690763,107.2233234
0.819277108,0.004016064,0.176706827,107.2233234
0.815261044,0.004016064,0.180722892,107.2233234
0.81124498,0.004016064,0.184738956,107.2233234
0.807228916,0.004016064,0.18875502,106.9051425
0.803212851,0.004016064,0.192771084,106.9051425
0.799196787,0.004016064,0.196787149,106.4505127
0.795180723,0.004016064,0.200803213,106.4505127
0.791164659,0.004016064,0.204819277,106.4505127
0.787148594,0.004016064,0.208835341,106.4505127
0.78313253,0.004016064,0.212851406,106.4505127
0.779116466,0.004016064,0.21686747,106.4505127
0.775100402,0.004016064,0.220883534,106.4505127
0.771084337,0.004016064,0.224899598,106.4505127
0.767068273,0.004016064,0.228915663,106.4505127
0.763052209,0.004016064,0.232931727,106.4505127
0.759036145,0.004016064,0.236947791,106.4505127
0.75502008,0.004016064,0.240963855,106.4505127
0.751004016,0.004016064,0.24497992,106.4505127
0.746987952,0.004016064,0.248995984,106.4505127
0.742971888,0.004016064,0.253012048,105.9250616
0.738955823,0.004016064,0.257028112,105.9250616
0.734939759,0.004016064,0.261044177,105.9250616
0.730923695,0.004016064,0.265060241,105.4406423
0.726907631,0.004016064,0.269076305,103.3305592
0.722891566,0.004016064,0.273092369,103.3305592
0.718875502,0.004016064,0.277108434,96.20366993
0.714859438,0.004016064,0.281124498,96.20366993
0.710843373,0.004016064,0.285140562,96.20366993
0.706827309,0.004016064,0.289156627,95.74221273
0.702811245,0.004016064,0.293172691,95.74221273
0.698795181,0.004016064,0.297188755,93.59174733
0.694779116,0.004016064,0.301204819,89.54410095
0.690763052,0.004016064,0.305220884,89.54410095
0.686746988,0.004016064,0.309236948,86.87177393
0.682730924,0.004016064,0.313253012,84.57983937
0.678714859,0.004016064,0.317269076,83.7037745
0.674698795,0.004016064,0.321285141,83.8077243
0.670682731,0.004016064,0.325301205,83.09434656
0.666666667,0.004016064,0.329317269,83.00352762
0.662650602,0.004016064,0.333333333,82.97718141
0.658634538,0.004016064,0.337349398,81.48564774
0.654618474,0.004016064,0.341365462,79.82975887
0.65060241,0.004016064,0.345381526,75.83950797
0.646586345,0.004016064,0.34939759,63.79613376
0.642570281,0.004016064,0.353413655,62.66240796
0.638554217,0.004016064,0.357429719,60.5384577
0.634538153,0.004016064,0.361445783,59.83745275
0.630522088,0.004016064,0.365461847,54.6892686
0.626506024,0.004016064,0.369477912,51.85188922
0.62248996,0.004016064,0.373493976,51.11196948
0.618473896,0.004016064,0.37751004,48.45462145
0.614457831,0.004016064,0.381526104,48.10006043
0.610441767,0.004016064,0.385542169,45.83791136
0.606425703,0.004016064,0.389558233,45.49386101
0.602409639,0.004016064,0.393574297,45.18348943
0.598393574,0.004016064,0.397590361,44.2131255
0.59437751,0.004016064,0.401606426,43.90917509
0.590361446,0.004016064,0.40562249,44.16563973
0.586345382,0.004016064,0.409638554,43.83647804
0.582329317,0.004016064,0.413654618,43.25689694
0.578313253,0.004016064,0.417670683,42.99070593
0.574297189,0.004016064,0.421686747,41.42891897
0.570281124,0.004016064,0.425702811,41.47081291
0.56626506,0.004016064,0.429718876,41.16440953
0.562248996,0.004016064,0.43373494,41.16069602
0.558232932,0.004016064,0.437751004,41.07997447
0.554216867,0.004016064,0.441767068,40.61491339
0.550200803,0.004016064,0.445783133,40.62494068
0.546184739,0.004016064,0.449799197,40.61317867
0.542168675,0.004016064,0.453815261,40.61317867
0.53815261,0.004016064,0.457831325,40.61317867
0.534136546,0.004016064,0.46184739,40.62126994
0.530120482,0.004016064,0.465863454,40.67539325
0.526104418,0.004016064,0.469879518,40.77650859
0.522088353,0.004016064,0.473895582,40.75891385
0.518072289,0.004016064,0.477911647,40.86255724
0.514056225,0.004016064,0.481927711,40.94340465
0.510040161,0.004016064,0.485943775,41.63770381
0.506024096,0.004016064,0.489959839,42.29342311
0.502008032,0.004016064,0.493975904,42.68194207
0.497991968,0.004016064,0.497991968,43.24838606
0.493975904,0.004016064,0.502008032,43.30256573
0.489959839,0.004016064,0.506024096,43.28847011
0.485943775,0.004016064,0.510040161,43.28375037
0.481927711,0.004016064,0.514056225,43.65238211
0.477911647,0.004016064,0.518072289,45.52432729
0.473895582,0.004016064,0.522088353,72.2381438
0.469879518,0.004016064,0.526104418,79.79617089
0.465863454,0.004016064,0.530120482,85.3289818
0.46184739,0.004016064,0.534136546,100.7502753
0.457831325,0.004016064,0.53815261,103.0617783
0.453815261,0.004016064,0.542168675,103.0617783
0.449799197,0.004016064,0.546184739,103.0617783
0.445783133,0.004016064,0.550200803,102.337667
0.441767068,0.004016064,0.554216867,102.337667
0.437751004,0.004016064,0.558232932,102.048242
0.43373494,0.004016064,0.562248996,102.048242
0.429718876,0.004016064,0.56626506,102.048242
0.425702811,0.004016064,0.570281124,102.048242
0.421686747,0.004016064,0.574297189,102.0430705
0.417670683,0.004016064,0.578313253,102.0430705
0.413654618,0.004016064,0.582329317,102.0430705
0.409638554,0.004016064,0.586345382,102.0379641
0.40562249,0.004016064,0.590361446,102.0339149
0.401606426,0.004016064,0.59437751,102.0305877
0.397590361,0.004016064,0.598393574,101.8462582
0.393574297,0.004016064,0.602409639,101.6536983
0.389558233,0.004016064,0.606425703,101.5018125
0.385542169,0.004016064,0.610441767,101.4832146
0.381526104,0.004016064,0.614457831,101.4676702
0.37751004,0.004016064,0.618473896,101.4608418
0.373493976,0.004016064,0.62248996,101.3076511
0.369477912,0.004016064,0.626506024,101.3076511
0.365461847,0.004016064,0.630522088,101.3076511
0.361445783,0.004016064,0.634538153,101.3050216
0.357429719,0.004016064,0.638554217,101.3050216
0.353413655,0.004016064,0.642570281,101.3050216
0.34939759,0.004016064,0.646586345,101.2881999
0.345381526,0.004016064,0.65060241,101.2801895
0.341365462,0.004016064,0.654618474,101.6537282
0.337349398,0.004016064,0.658634538,101.6537282
0.333333333,0.004016064,0.662650602,101.6491077
0.329317269,0.004016064,0.666666667,101.6491077
0.325301205,0.004016064,0.670682731,101.6491077
0.321285141,0.004016064,0.674698795,101.6491077
0.317269076,0.004016064,0.678714859,101.6491077
0.313253012,0.004016064,0.682730924,101.6463768
0.309236948,0.004016064,0.686746988,101.6463768
0.305220884,0.004016064,0.690763052,102.1645987
0.301204819,0.004016064,0.694779116,102.1645987
0.297188755,0.004016064,0.698795181,102.1645987
0.293172691,0.004016064,0.702811245,101.3131389
