Mn,Fe,Co,Area Specific Resistance at 700C - ASR_700 C (ohm cm^2)
0.445783133,0,0.554216867,9.291626224
0.441767068,0,0.558232932,9.253431139
0.437751004,0,0.562248996,9.253431139
0.43373494,0,0.56626506,9.253431139
0.429718876,0,0.570281124,9.253431139
0.425702811,0,0.574297189,9.253203878
0.421686747,0,0.578313253,9.253203878
0.417670683,0,0.582329317,9.253203878
0.413654618,0,0.586345382,9.252978992
0.409638554,0,0.590361446,9.25278652
0.40562249,0,0.59437751,9.252646108
0.401606426,0,0.598393574,9.231511539
0.397590361,0,0.602409639,9.209847747
0.393574297,0,0.606425703,9.190456588
0.389558233,0,0.610441767,9.189478787
0.385542169,0,0.614457831,9.188590658
0.381526104,0,0.618473896,9.188178779
0.37751004,0,0.62248996,9.168669482
0.373493976,0,0.626506024,9.168669482
0.369477912,0,0.630522088,9.168669482
0.365461847,0,0.634538153,9.168505117
0.361445783,0,0.638554217,9.168505117
0.357429719,0,0.642570281,9.168505117
0.353413655,0,0.646586345,9.167533752
0.34939759,0,0.65060241,9.167068122
0.345381526,0,0.654618474,9.167068122
0.341365462,0,0.658634538,9.17550516
0.337349398,0,0.662650602,9.175286101
0.333333333,0,0.666666667,9.175286101
0.329317269,0,0.670682731,9.175286101
0.325301205,0,0.674698795,9.175286101
0.321285141,0,0.678714859,9.175286101
0.317269076,0,0.682730924,9.17511529
0.313253012,0,0.686746988,9.17511529
0.309236948,0,0.690763052,9.17511529
0.305220884,0,0.694779116,9.202453009
0.301204819,0,0.698795181,9.202453009
0.297188755,0,0.702811245,9.202453009
0.293172691,0,0.706827309,9.090038979
0.289156627,0,0.710843373,9.052880852
0.285140562,0,0.714859438,9.034161516
0.281124498,0,0.718875502,9.034093451
0.277108434,0,0.722891566,8.960005183
0.273092369,0,0.726907631,8.921919186
0.269076305,0,0.730923695,8.921919186
0.265060241,0,0.734939759,8.921887201
0.261044177,0,0.738955823,8.921887201
0.257028112,0,0.742971888,8.933301043
0.253012048,0,0.746987952,8.931652886
0.248995984,0,0.751004016,8.943298423
0.24497992,0,0.75502008,8.966750077
0.240963855,0,0.759036145,9.02538444
0.236947791,0,0.763052209,8.96575234
0.232931727,0,0.767068273,8.917565819
0.228915663,0,0.771084337,8.917565819
0.224899598,0,0.775100402,8.916803998
0.220883534,0,0.779116466,8.916803998
0.21686747,0,0.78313253,8.915992788
0.212851406,0,0.787148594,8.915662579
0.208835341,0,0.791164659,8.915333089
0.204819277,0,0.795180723,8.915333089
0.200803213,0,0.799196787,8.915333089
0.196787149,0,0.803212851,8.914583612
0.192771084,0,0.807228916,8.914458151
0.18875502,0,0.81124498,8.914458151
0.184738956,0,0.815261044,8.914458151
0.180722892,0,0.819277108,8.914425235
0.176706827,0,0.823293173,8.914425235
0.172690763,0,0.827309237,8.914425235
0.168674699,0,0.831325301,8.914425235
0.164658635,0,0.835341365,8.914425235
0.16064257,0,0.83935743,8.914425235
0.156626506,0,0.843373494,8.914425235
0.152610442,0,0.847389558,8.914425235
0.148594378,0,0.851405622,8.914425235
0.144578313,0,0.855421687,8.914357876
0.140562249,0,0.859437751,8.914357876
0.136546185,0,0.863453815,8.914356859
0.13253012,0,0.86746988,8.914356859
0.128514056,0,0.871485944,8.914389566
0.124497992,0,0.875502008,8.914363852
0.120481928,0,0.879518072,8.914349677
0.116465863,0,0.883534137,8.914349677
0.112449799,0,0.887550201,8.914349677
0.108433735,0,0.891566265,8.914349677
0.104417671,0,0.895582329,8.914349677
0.100401606,0,0.899598394,8.914349677
0.096385542,0,0.903614458,8.914349677
0.092369478,0,0.907630522,8.914349677
0.088353414,0,0.911646586,8.914349677
0.084337349,0,0.915662651,8.914349677
0.080321285,0,0.919678715,8.914349677
0.076305221,0,0.923694779,8.914349677
0.072289157,0,0.927710843,8.914349677
0.068273092,0,0.931726908,8.914349677
0.064257028,0,0.935742972,8.914349677
0.060240964,0,0.939759036,8.914349677
0.0562249,0,0.9437751,8.914349677
0.052208835,0,0.947791165,8.914349677
0.048192771,0,0.951807229,8.914349677
0.044176707,0,0.955823293,8.914349677
0.040160643,0,0.959839357,8.914349677
0.036144578,0,0.963855422,8.914349677
0.032128514,0,0.967871486,8.914349677
0.02811245,0,0.97188755,8.914349677
0.024096386,0,0.975903614,8.914349677
0.020080321,0,0.979919679,8.914349677
0.016064257,0,0.983935743,8.914349677
0.012048193,0,0.987951807,8.914349677
0.008032129,0,0.991967871,8.914349677
0.004016064,0,0.995983936,8.914349677
0,0,1,8.914349677
0.995983936,0.004016064,0,12.15414588
0.991967871,0.004016064,0.004016064,12.15414588
0.987951807,0.004016064,0.008032129,12.15414588
0.983935743,0.004016064,0.012048193,12.15414588
0.979919679,0.004016064,0.016064257,12.15414588
0.975903614,0.004016064,0.020080321,12.15414588
0.97188755,0.004016064,0.024096386,12.15414588
0.967871486,0.004016064,0.02811245,12.15414588
0.963855422,0.004016064,0.032128514,12.15414588
0.959839357,0.004016064,0.036144578,12.15414588
0.955823293,0.004016064,0.040160643,12.15414588
0.951807229,0.004016064,0.044176707,12.15414588
0.947791165,0.004016064,0.048192771,12.15414588
0.9437751,0.004016064,0.052208835,12.15414588
0.939759036,0.004016064,0.0562249,12.15414588
0.935742972,0.004016064,0.060240964,12.15414588
0.931726908,0.004016064,0.064257028,12.15414588
0.927710843,0.004016064,0.068273092,12.15414588
0.923694779,0.004016064,0.072289157,12.15414588
0.919678715,0.004016064,0.076305221,12.15414588
0.915662651,0.004016064,0.080321285,12.15414588
0.911646586,0.004016064,0.084337349,12.15414588
0.907630522,0.004016064,0.088353414,12.15414588
0.903614458,0.004016064,0.092369478,12.15414588
0.899598394,0.004016064,0.096385542,12.15414588
0.895582329,0.004016064,0.100401606,12.15414588
0.891566265,0.004016064,0.104417671,12.15414588
0.887550201,0.004016064,0.108433735,12.15414588
0.883534137,0.004016064,0.112449799,12.15414588
0.879518072,0.004016064,0.116465863,12.15414588
0.875502008,0.004016064,0.120481928,12.15414588
0.871485944,0.004016064,0.124497992,12.15414588
0.86746988,0.004016064,0.128514056,12.15414588
0.863453815,0.004016064,0.13253012,12.15414588
0.859437751,0.004016064,0.136546185,12.15669708
0.855421687,0.004016064,0.140562249,12.15669708
0.851405622,0.004016064,0.144578313,12.15669708
0.847389558,0.004016064,0.148594378,12.15669708
0.843373494,0.004016064,0.152610442,12.15669708
0.83935743,0.004016064,0.156626506,12.15669708
0.835341365,0.004016064,0.16064257,12.15669708
0.831325301,0.004016064,0.164658635,12.15669708
0.827309237,0.004016064,0.168674699,12.15669708
0.823293173,0.004016064,0.172690763,12.15669708
0.819277108,0.004016064,0.176706827,12.15669708
0.815261044,0.004016064,0.180722892,12.15669708
0.81124498,0.004016064,0.184738956,12.15669708
0.807228916,0.004016064,0.18875502,12.15354891
