Mn,Fe,Co,Oxygen Diffusion Coefficient - log(D*)_400C (cm^2/s)
0.473895582,0,0.526104418,-13.8127374
0.469879518,0,0.530120482,-13.73832521
0.465863454,0,0.534136546,-13.47811833
0.46184739,0,0.53815261,-13.44025066
0.457831325,0,0.542168675,-13.44025066
0.453815261,0,0.546184739,-13.44025066
0.449799197,0,0.550200803,-13.43289105
0.445783133,0,0.554216867,-13.43289105
0.441767068,0,0.558232932,-13.42927493
0.437751004,0,0.562248996,-13.42927493
0.43373494,0,0.56626506,-13.42927493
0.429718876,0,0.570281124,-13.42927493
0.425702811,0,0.574297189,-13.42705368
0.421686747,0,0.578313253,-13.42705368
0.417670683,0,0.582329317,-13.42705368
0.413654618,0,0.586345382,-13.4246591
0.409638554,0,0.590361446,-13.42275325
0.40562249,0,0.59437751,-13.42132086
0.401606426,0,0.598393574,-13.39927831
0.397590361,0,0.602409639,-13.37565623
0.393574297,0,0.606425703,-13.36953521
0.389558233,0,0.610441767,-13.36079147
0.385542169,0,0.614457831,-13.35172242
0.381526104,0,0.618473896,-13.34884598
0.37751004,0,0.62248996,-13.34234108
0.373493976,0,0.626506024,-13.34234108
0.369477912,0,0.630522088,-13.34234108
0.365461847,0,0.634538153,-13.34092696
0.361445783,0,0.638554217,-13.34092696
0.357429719,0,0.642570281,-13.34092696
0.353413655,0,0.646586345,-13.33048866
0.34939759,0,0.65060241,-13.32616963
0.345381526,0,0.654618474,-13.32616963
0.341365462,0,0.658634538,-13.3228941
0.337349398,0,0.662650602,-13.32069313
0.333333333,0,0.666666667,-13.32069313
0.329317269,0,0.670682731,-13.32069313
0.325301205,0,0.674698795,-13.32069313
0.321285141,0,0.678714859,-13.32069313
0.317269076,0,0.682730924,-13.31791777
0.313253012,0,0.686746988,-13.31791777
0.309236948,0,0.690763052,-13.31791777
0.305220884,0,0.694779116,-13.31640051
0.301204819,0,0.698795181,-13.31640051
0.297188755,0,0.702811245,-13.31640051
0.293172691,0,0.706827309,-13.31116643
0.289156627,0,0.710843373,-13.30920683
0.285140562,0,0.714859438,-13.30657706
0.281124498,0,0.718875502,-13.30303923
0.277108434,0,0.722891566,-13.29169525
0.273092369,0,0.726907631,-13.25937258
0.269076305,0,0.730923695,-13.25937258
0.265060241,0,0.734939759,-13.25471429
0.261044177,0,0.738955823,-13.25471429
0.257028112,0,0.742971888,-13.24386189
0.253012048,0,0.746987952,-13.15723972
0.248995984,0,0.751004016,-13.15029252
0.24497992,0,0.75502008,-13.13580798
0.240963855,0,0.759036145,-13.12189159
0.236947791,0,0.763052209,-13.10603641
0.232931727,0,0.767068273,-13.09175203
0.228915663,0,0.771084337,-13.09175203
0.224899598,0,0.775100402,-13.08120119
0.220883534,0,0.779116466,-13.08120119
0.21686747,0,0.78313253,-13.06910569
0.212851406,0,0.787148594,-13.06681689
0.208835341,0,0.791164659,-13.06150247
0.204819277,0,0.795180723,-13.06150247
0.200803213,0,0.799196787,-13.06150247
0.196787149,0,0.803212851,-13.0480664
0.192771084,0,0.807228916,-13.04577665
0.18875502,0,0.81124498,-13.04577665
